,# Input,GeneSymbol,GeneID,Ontology,GoTermName,GoTermID
26,klf4,KLF4,9314,Biological Process,negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,GO:0043154
27,klf4,KLF4,9314,Biological Process,negative regulation of DNA-binding transcription factor activity,GO:0043433
28,klf4,KLF4,9314,Biological Process,negative regulation of DNA-templated transcription,GO:0045892
29,klf4,KLF4,9314,Biological Process,negative regulation of ERK1 and ERK2 cascade,GO:0070373
30,klf4,KLF4,9314,Biological Process,negative regulation of G1/S transition of mitotic cell cycle,GO:2000134
31,klf4,KLF4,9314,Biological Process,negative regulation of gene expression,GO:0010629
32,klf4,KLF4,9314,Biological Process,negative regulation of heterotypic cell-cell adhesion,GO:0034115
33,klf4,KLF4,9314,Biological Process,negative regulation of inflammatory response,GO:0050728
34,klf4,KLF4,9314,Biological Process,negative regulation of interleukin-8 production,GO:0032717
35,klf4,KLF4,9314,Biological Process,negative regulation of leukocyte adhesion to arterial endothelial cell,GO:1904998
36,klf4,KLF4,9314,Biological Process,negative regulation of muscle hyperplasia,GO:0014740
37,klf4,KLF4,9314,Biological Process,negative regulation of NF-kappaB transcription factor activity,GO:0032088
38,klf4,KLF4,9314,Biological Process,negative regulation of phosphatidylinositol 3-kinase signaling,GO:0014067
39,klf4,KLF4,9314,Biological Process,negative regulation of protein kinase B signaling,GO:0051898
40,klf4,KLF4,9314,Biological Process,negative regulation of response to cytokine stimulus,GO:0060761
41,klf4,KLF4,9314,Biological Process,negative regulation of smooth muscle cell proliferation,GO:0048662
42,klf4,KLF4,9314,Biological Process,negative regulation of transcription by RNA polymerase II,GO:0000122
43,klf4,KLF4,9314,Biological Process,positive regulation of core promoter binding,GO:1904798
44,klf4,KLF4,9314,Biological Process,positive regulation of DNA-templated transcription,GO:0045893
45,klf4,KLF4,9314,Biological Process,positive regulation of gene expression,GO:0010628
46,klf4,KLF4,9314,Biological Process,positive regulation of hemoglobin biosynthetic process,GO:0046985
47,klf4,KLF4,9314,Biological Process,positive regulation of miRNA transcription,GO:1902895
48,klf4,KLF4,9314,Biological Process,positive regulation of nitric oxide biosynthetic process,GO:0045429
49,klf4,KLF4,9314,Biological Process,positive regulation of protein metabolic process,GO:0051247
50,klf4,KLF4,9314,Biological Process,positive regulation of sprouting angiogenesis,GO:1903672
51,klf4,KLF4,9314,Biological Process,positive regulation of telomerase activity,GO:0051973
52,klf4,KLF4,9314,Biological Process,positive regulation of transcription by RNA polymerase II,GO:0045944
53,klf4,KLF4,9314,Biological Process,post-embryonic camera-type eye development,GO:0031077
54,klf4,KLF4,9314,Biological Process,post-embryonic hemopoiesis,GO:0035166
55,klf4,KLF4,9314,Biological Process,regulation of axon regeneration,GO:0048679
56,klf4,KLF4,9314,Biological Process,regulation of blastocyst development,GO:0120222
57,klf4,KLF4,9314,Biological Process,regulation of cell differentiation,GO:0045595
58,klf4,KLF4,9314,Biological Process,regulation of cell population proliferation,GO:0042127
59,klf4,KLF4,9314,Biological Process,regulation of DNA-templated transcription,GO:0006355
60,klf4,KLF4,9314,Biological Process,regulation of phosphatidylinositol 3-kinase activity,GO:0043551
61,klf4,KLF4,9314,Biological Process,regulation of transcription by RNA polymerase II,GO:0006357
62,klf4,KLF4,9314,Biological Process,response to organic substance,GO:0010033
63,klf4,KLF4,9314,Biological Process,response to retinoic acid,GO:0032526
64,klf4,KLF4,9314,Biological Process,somatic stem cell population maintenance,GO:0035019
65,klf4,KLF4,9314,Biological Process,stem cell population maintenance,GO:0019827
66,klf4,KLF4,9314,Biological Process,stem cell proliferation,GO:0072089
67,klf4,KLF4,9314,Biological Process,transcription by RNA polymerase II,GO:0006366
68,myc,MYC,4609,Biological Process,acinar cell proliferation,GO:1990863
69,myc,MYC,4609,Biological Process,activation of cysteine-type endopeptidase activity involved in apoptotic process,GO:0006919
70,myc,MYC,4609,Biological Process,amino acid transport,GO:0006865
71,myc,MYC,4609,Biological Process,B cell apoptotic process,GO:0001783
72,myc,MYC,4609,Biological Process,branching involved in ureteric bud morphogenesis,GO:0001658
73,myc,MYC,4609,Biological Process,canonical Wnt signaling pathway involved in negative regulation of apoptotic process,GO:0044336
74,myc,MYC,4609,Biological Process,canonical Wnt signaling pathway involved in positive regulation of apoptotic process,GO:0044337
75,myc,MYC,4609,Biological Process,cell competition in a multicellular organism,GO:0035212
76,myc,MYC,4609,Biological Process,cell population proliferation,GO:0008283
77,myc,MYC,4609,Biological Process,cellular iron ion homeostasis,GO:0006879
78,myc,MYC,4609,Biological Process,cellular response to angiotensin,GO:1904385
79,myc,MYC,4609,Biological Process,cellular response to arsenite(3-),GO:1903841
80,myc,MYC,4609,Biological Process,cellular response to carbohydrate stimulus,GO:0071322
81,myc,MYC,4609,Biological Process,cellular response to cycloheximide,GO:0071409
82,myc,MYC,4609,Biological Process,cellular response to cytokine stimulus,GO:0071345
83,myc,MYC,4609,Biological Process,cellular response to dimethyl sulfoxide,GO:1904620
84,myc,MYC,4609,Biological Process,cellular response to DNA damage stimulus,GO:0006974
85,myc,MYC,4609,Biological Process,cellular response to endothelin,GO:1990859
86,myc,MYC,4609,Biological Process,cellular response to epidermal growth factor stimulus,GO:0071364
87,myc,MYC,4609,Biological Process,cellular response to estrogen stimulus,GO:0071391
88,myc,MYC,4609,Biological Process,cellular response to fibroblast growth factor stimulus,GO:0044344
89,myc,MYC,4609,Biological Process,cellular response to growth hormone stimulus,GO:0071378
90,myc,MYC,4609,Biological Process,cellular response to hydrostatic pressure,GO:0071464
91,myc,MYC,4609,Biological Process,cellular response to hypoxia,GO:0071456
92,myc,MYC,4609,Biological Process,cellular response to insulin stimulus,GO:0032869
93,myc,MYC,4609,Biological Process,cellular response to interferon-alpha,GO:0035457
94,myc,MYC,4609,Biological Process,cellular response to interferon-gamma,GO:0071346
95,myc,MYC,4609,Biological Process,cellular response to interleukin-1,GO:0071347
96,myc,MYC,4609,Biological Process,cellular response to lectin,GO:1990858
97,myc,MYC,4609,Biological Process,cellular response to nutrient,GO:0031670
98,myc,MYC,4609,Biological Process,cellular response to organic cyclic compound,GO:0071407
99,myc,MYC,4609,Biological Process,cellular response to phorbol 13-acetate 12-myristate,GO:1904628
100,myc,MYC,4609,Biological Process,cellular response to platelet-derived growth factor stimulus,GO:0036120
101,myc,MYC,4609,Biological Process,cellular response to prolactin,GO:1990646
102,myc,MYC,4609,Biological Process,cellular response to putrescine,GO:1904586
103,myc,MYC,4609,Biological Process,cellular response to retinoic acid,GO:0071300
104,myc,MYC,4609,Biological Process,cellular response to testosterone stimulus,GO:0071394
105,myc,MYC,4609,Biological Process,cellular response to UV,GO:0034644
106,myc,MYC,4609,Biological Process,cellular response to xenobiotic stimulus,GO:0071466
107,myc,MYC,4609,Biological Process,chromatin remodeling,GO:0006338
108,myc,MYC,4609,Biological Process,chromosome organization,GO:0051276
109,myc,MYC,4609,Biological Process,detection of mechanical stimulus involved in sensory perception of sound,GO:0050910
110,myc,MYC,4609,Biological Process,DNA endoreduplication,GO:0042023
111,myc,MYC,4609,Biological Process,DNA-templated transcription,GO:0006351
112,myc,MYC,4609,Biological Process,DNA-templated transcription initiation,GO:0006352
113,myc,MYC,4609,Biological Process,embryonic pattern specification,GO:0009880
114,myc,MYC,4609,Biological Process,energy reserve metabolic process,GO:0006112
115,myc,MYC,4609,Biological Process,epidermis morphogenesis,GO:0048730
116,myc,MYC,4609,Biological Process,ERK1 and ERK2 cascade,GO:0070371
117,myc,MYC,4609,Biological Process,fibroblast apoptotic process,GO:0044346
118,myc,MYC,4609,Biological Process,G0 to G1 transition,GO:0045023
119,myc,MYC,4609,Biological Process,G1/S transition of mitotic cell cycle,GO:0000082
120,myc,MYC,4609,Biological Process,glucose metabolic process,GO:0006006
121,myc,MYC,4609,Biological Process,hypothalamus development,GO:0021854
122,myc,MYC,4609,Biological Process,inner mitochondrial membrane organization,GO:0007007
123,myc,MYC,4609,Biological Process,insulin receptor signaling pathway,GO:0008286
124,myc,MYC,4609,Biological Process,intrinsic apoptotic signaling pathway,GO:0097193
125,myc,MYC,4609,Biological Process,intrinsic apoptotic signaling pathway in response to DNA damage,GO:0008630
126,myc,MYC,4609,Biological Process,in utero embryonic development,GO:0001701
127,myc,MYC,4609,Biological Process,lactic acid secretion,GO:0046722
128,myc,MYC,4609,Biological Process,lipid homeostasis,GO:0055088
129,myc,MYC,4609,Biological Process,liver regeneration,GO:0097421
130,myc,MYC,4609,Biological Process,MAPK cascade,GO:0000165
131,myc,MYC,4609,Biological Process,middle ear morphogenesis,GO:0042474
132,myc,MYC,4609,Biological Process,myoblast proliferation,GO:0051450
133,myc,MYC,4609,Biological Process,myotube differentiation,GO:0014902
134,myc,MYC,4609,Biological Process,negative regulation of apoptotic process,GO:0043066
135,myc,MYC,4609,Biological Process,negative regulation of cell death,GO:0060548
136,myc,MYC,4609,Biological Process,negative regulation of cell division,GO:0051782
137,myc,MYC,4609,Biological Process,negative regulation of fibroblast proliferation,GO:0048147
138,myc,MYC,4609,Biological Process,negative regulation of gene expression,GO:0010629
139,myc,MYC,4609,Biological Process,negative regulation of glucose import,GO:0046325
140,myc,MYC,4609,Biological Process,negative regulation of monocyte differentiation,GO:0045656
141,myc,MYC,4609,Biological Process,negative regulation of peptidoglycan recognition protein signaling pathway,GO:0061060
142,myc,MYC,4609,Biological Process,negative regulation of protein binding,GO:0032091
143,myc,MYC,4609,Biological Process,negative regulation of stress-activated MAPK cascade,GO:0032873
144,myc,MYC,4609,Biological Process,negative regulation of transcription by RNA polymerase II,GO:0000122
145,myc,MYC,4609,Biological Process,neurogenesis,GO:0022008
146,myc,MYC,4609,Biological Process,NK T cell proliferation,GO:0001866
147,myc,MYC,4609,Biological Process,nucleologenesis,GO:0017126
148,myc,MYC,4609,Biological Process,ovarian follicle development,GO:0001541
149,myc,MYC,4609,Biological Process,ovulation,GO:0030728
150,myc,MYC,4609,Biological Process,oxygen transport,GO:0015671
151,myc,MYC,4609,Biological Process,pigmentation,GO:0043473
152,myc,MYC,4609,Biological Process,positive regulation of acinar cell proliferation,GO:1904699
153,myc,MYC,4609,Biological Process,positive regulation of apoptotic signaling pathway,GO:2001235
154,myc,MYC,4609,Biological Process,positive regulation of ATP biosynthetic process,GO:2001171
155,myc,MYC,4609,Biological Process,positive regulation of B cell apoptotic process,GO:0002904
156,myc,MYC,4609,Biological Process,positive regulation of catalytic activity,GO:0043085
157,myc,MYC,4609,Biological Process,positive regulation of cell cycle,GO:0045787
158,myc,MYC,4609,Biological Process,positive regulation of cell growth,GO:0030307
159,myc,MYC,4609,Biological Process,positive regulation of cell population proliferation,GO:0008284
160,myc,MYC,4609,Biological Process,positive regulation of cell size,GO:0045793
161,myc,MYC,4609,Biological Process,positive regulation of cellular respiration,GO:1901857
162,myc,MYC,4609,Biological Process,positive regulation of cysteine-type endopeptidase activity involved in apoptotic process,GO:0043280
163,myc,MYC,4609,Biological Process,positive regulation of developmental growth,GO:0048639
164,myc,MYC,4609,Biological Process,positive regulation of DNA binding,GO:0043388
165,myc,MYC,4609,Biological Process,positive regulation of DNA biosynthetic process,GO:2000573
166,myc,MYC,4609,Biological Process,positive regulation of DNA methylation,GO:1905643
167,myc,MYC,4609,Biological Process,positive regulation of DNA-templated transcription,GO:0045893
168,myc,MYC,4609,Biological Process,positive regulation of epithelial cell proliferation,GO:0050679
169,myc,MYC,4609,Biological Process,positive regulation of fibroblast proliferation,GO:0048146
170,myc,MYC,4609,Biological Process,positive regulation of gene expression,GO:0010628
171,myc,MYC,4609,Biological Process,positive regulation of glial cell proliferation,GO:0060252
172,myc,MYC,4609,Biological Process,positive regulation of glycolytic process,GO:0045821
173,myc,MYC,4609,Biological Process,positive regulation of growth,GO:0045927
174,myc,MYC,4609,Biological Process,positive regulation of imaginal disc growth,GO:0045572
175,myc,MYC,4609,Biological Process,positive regulation of intrinsic apoptotic signaling pathway by p53 class mediator,GO:1902255
176,myc,MYC,4609,Biological Process,positive regulation of mesenchymal cell proliferation,GO:0002053
177,myc,MYC,4609,Biological Process,positive regulation of metanephric cap mesenchymal cell proliferation,GO:0090096
178,myc,MYC,4609,Biological Process,positive regulation of miRNA transcription,GO:1902895
179,myc,MYC,4609,Biological Process,positive regulation of mitochondrial membrane potential,GO:0010918
180,myc,MYC,4609,Biological Process,positive regulation of multicellular organism growth,GO:0040018
181,myc,MYC,4609,Biological Process,positive regulation of neurogenesis,GO:0050769
182,myc,MYC,4609,Biological Process,positive regulation of organ growth,GO:0046622
183,myc,MYC,4609,Biological Process,positive regulation of oxidative phosphorylation,GO:1903862
184,myc,MYC,4609,Biological Process,positive regulation of response to DNA damage stimulus,GO:2001022
185,myc,MYC,4609,Biological Process,positive regulation of smooth muscle cell migration,GO:0014911
186,myc,MYC,4609,Biological Process,positive regulation of smooth muscle cell proliferation,GO:0048661
187,myc,MYC,4609,Biological Process,positive regulation of telomerase activity,GO:0051973
188,myc,MYC,4609,Biological Process,positive regulation of transcription by RNA polymerase I,GO:0045943
189,myc,MYC,4609,Biological Process,positive regulation of transcription by RNA polymerase II,GO:0045944
190,myc,MYC,4609,Biological Process,positive regulation of transcription by RNA polymerase III,GO:0045945
191,myc,MYC,4609,Biological Process,positive regulation of transcription initiation by RNA polymerase II,GO:0060261
192,myc,MYC,4609,Biological Process,protein-DNA complex disassembly,GO:0032986
193,myc,MYC,4609,Biological Process,protein processing,GO:0016485
194,myc,MYC,4609,Biological Process,pyruvate transport,GO:0006848
195,myc,MYC,4609,Biological Process,re-entry into mitotic cell cycle,GO:0000320
196,myc,MYC,4609,Biological Process,regulation of apoptotic process,GO:0042981
197,myc,MYC,4609,Biological Process,regulation of autophagy,GO:0010506
198,myc,MYC,4609,Biological Process,regulation of cell cycle process,GO:0010564
199,myc,MYC,4609,Biological Process,regulation of DNA-templated transcription,GO:0006355
200,myc,MYC,4609,Biological Process,regulation of gene expression,GO:0010468
201,myc,MYC,4609,Biological Process,regulation of mitotic cell cycle,GO:0007346
202,myc,MYC,4609,Biological Process,regulation of organ growth,GO:0046620
203,myc,MYC,4609,Biological Process,regulation of oxidative phosphorylation,GO:0002082
204,myc,MYC,4609,Biological Process,regulation of somatic stem cell population maintenance,GO:1904672
205,myc,MYC,4609,Biological Process,regulation of telomere maintenance,GO:0032204
206,myc,MYC,4609,Biological Process,regulation of trehalose metabolic process,GO:0090062
207,myc,MYC,4609,Biological Process,response to alkaloid,GO:0043279
208,myc,MYC,4609,Biological Process,response to estradiol,GO:0032355
209,myc,MYC,4609,Biological Process,response to ethanol,GO:0045471
210,myc,MYC,4609,Biological Process,response to gamma radiation,GO:0010332
211,myc,MYC,4609,Biological Process,response to growth factor,GO:0070848
212,myc,MYC,4609,Biological Process,response to human chorionic gonadotropin,GO:0044752
213,myc,MYC,4609,Biological Process,response to radiation,GO:0009314
214,myc,MYC,4609,Biological Process,response to starvation,GO:0042594
215,myc,MYC,4609,Biological Process,response to wounding,GO:0009611
216,myc,MYC,4609,Biological Process,response to xenobiotic stimulus,GO:0009410
217,myc,MYC,4609,Biological Process,skeletal muscle cell differentiation,GO:0035914
218,myc,MYC,4609,Biological Process,skeletal system morphogenesis,GO:0048705
219,myc,MYC,4609,Biological Process,tissue regeneration,GO:0042246
220,myc,MYC,4609,Biological Process,transcription by RNA polymerase II,GO:0006366
221,myc,MYC,4609,Biological Process,Wnt signaling pathway,GO:0016055
222,sox17,SOX17,64321,Biological Process,angiogenesis,GO:0001525
223,sox17,SOX17,64321,Biological Process,biological_process,GO:0008150
224,sox17,SOX17,64321,Biological Process,cardiac cell fate determination,GO:0060913
225,sox17,SOX17,64321,Biological Process,cardiogenic plate morphogenesis,GO:0003142
226,sox17,SOX17,64321,Biological Process,cell migration involved in gastrulation,GO:0042074
227,sox17,SOX17,64321,Biological Process,cellular response to leukemia inhibitory factor,GO:1990830
228,sox17,SOX17,64321,Biological Process,common bile duct development,GO:0061009
229,sox17,SOX17,64321,Biological Process,determination of heart left/right asymmetry,GO:0061371
230,sox17,SOX17,64321,Biological Process,determination of pancreatic left/right asymmetry,GO:0035469
231,sox17,SOX17,64321,Biological Process,embryonic foregut morphogenesis,GO:0048617
232,sox17,SOX17,64321,Biological Process,embryonic heart tube development,GO:0035050
233,sox17,SOX17,64321,Biological Process,embryonic heart tube morphogenesis,GO:0003143
234,sox17,SOX17,64321,Biological Process,embryonic organ development,GO:0048568
235,sox17,SOX17,64321,Biological Process,endocardial cell differentiation,GO:0060956
236,sox17,SOX17,64321,Biological Process,endocardium formation,GO:0060214
237,sox17,SOX17,64321,Biological Process,endodermal cell differentiation,GO:0035987
238,sox17,SOX17,64321,Biological Process,endodermal cell fate determination,GO:0007493
239,sox17,SOX17,64321,Biological Process,endodermal cell fate specification,GO:0001714
240,sox17,SOX17,64321,Biological Process,endodermal digestive tract morphogenesis,GO:0061031
241,sox17,SOX17,64321,Biological Process,endoderm development,GO:0007492
242,sox17,SOX17,64321,Biological Process,endoderm formation,GO:0001706
243,sox17,SOX17,64321,Biological Process,gall bladder development,GO:0061010
244,sox17,SOX17,64321,Biological Process,gastrulation,GO:0007369
245,sox17,SOX17,64321,Biological Process,gene expression,GO:0010467
246,sox17,SOX17,64321,Biological Process,heart formation,GO:0060914
247,sox17,SOX17,64321,Biological Process,heart looping,GO:0001947
248,sox17,SOX17,64321,Biological Process,inner cell mass cellular morphogenesis,GO:0001828
249,sox17,SOX17,64321,Biological Process,Kupffer's vesicle development,GO:0070121
250,sox17,SOX17,64321,Biological Process,metanephros development,GO:0001656
251,sox17,SOX17,64321,Biological Process,negative regulation of canonical Wnt signaling pathway,GO:0090090
252,sox17,SOX17,64321,Biological Process,negative regulation of cell growth,GO:0030308
253,sox17,SOX17,64321,Biological Process,negative regulation of Wnt signaling pathway,GO:0030178
254,sox17,SOX17,64321,Biological Process,negative regulation of Wnt signaling pathway involved in heart development,GO:0003308
255,sox17,SOX17,64321,Biological Process,outflow tract morphogenesis,GO:0003151
256,sox17,SOX17,64321,Biological Process,positive regulation of cell differentiation,GO:0045597
257,sox17,SOX17,64321,Biological Process,positive regulation of DNA-templated transcription,GO:0045893
258,sox17,SOX17,64321,Biological Process,positive regulation of endodermal cell differentiation,GO:1903226
259,sox17,SOX17,64321,Biological Process,positive regulation of gene expression,GO:0010628
260,sox17,SOX17,64321,Biological Process,positive regulation of protein catabolic process,GO:0045732
261,sox17,SOX17,64321,Biological Process,positive regulation of stem cell differentiation,GO:2000738
262,sox17,SOX17,64321,Biological Process,positive regulation of transcription by RNA polymerase II,GO:0045944
263,sox17,SOX17,64321,Biological Process,primitive hemopoiesis,GO:0060215
264,sox17,SOX17,64321,Biological Process,protein destabilization,GO:0031648
265,sox17,SOX17,64321,Biological Process,protein stabilization,GO:0050821
266,sox17,SOX17,64321,Biological Process,regulation of cardiac cell fate specification,GO:2000043
267,sox17,SOX17,64321,Biological Process,regulation of cell differentiation,GO:0045595
268,sox17,SOX17,64321,Biological Process,regulation of DNA-templated transcription,GO:0006355
269,sox17,SOX17,64321,Biological Process,regulation of embryonic development,GO:0045995
270,sox17,SOX17,64321,Biological Process,regulation of stem cell division,GO:2000035
271,sox17,SOX17,64321,Biological Process,regulation of stem cell proliferation,GO:0072091
272,sox17,SOX17,64321,Biological Process,regulation of transcription by RNA polymerase II,GO:0006357
273,sox17,SOX17,64321,Biological Process,rostrocaudal neural tube patterning,GO:0021903
274,sox17,SOX17,64321,Biological Process,signal transduction involved in regulation of gene expression,GO:0023019
275,sox17,SOX17,64321,Biological Process,spermatogenesis,GO:0007283
276,sox17,SOX17,64321,Biological Process,stem cell differentiation,GO:0048863
277,sox17,SOX17,64321,Biological Process,stem cell fate specification,GO:0048866
278,sox17,SOX17,64321,Biological Process,ureter development,GO:0072189
279,sox17,SOX17,64321,Biological Process,vasculogenesis,GO:0001570
280,sox17,SOX17,64321,Biological Process,Wnt signaling pathway,GO:0016055
281,sox2,SOX2,6657,Biological Process,adenohypophysis development,GO:0021984
282,sox2,SOX2,6657,Biological Process,anatomical structure formation involved in morphogenesis,GO:0048646
283,sox2,SOX2,6657,Biological Process,cell fate commitment,GO:0045165
284,sox2,SOX2,6657,Biological Process,cell fate specification,GO:0001708
285,sox2,SOX2,6657,Biological Process,cell population proliferation,GO:0008283
286,sox2,SOX2,6657,Biological Process,cellular response to cadmium ion,GO:0071276
287,sox2,SOX2,6657,Biological Process,cerebral cortex development,GO:0021987
288,sox2,SOX2,6657,Biological Process,chromatin organization,GO:0006325
289,sox2,SOX2,6657,Biological Process,detection of mechanical stimulus involved in equilibrioception,GO:0050973
290,sox2,SOX2,6657,Biological Process,detection of mechanical stimulus involved in sensory perception of sound,GO:0050910
291,sox2,SOX2,6657,Biological Process,diencephalon morphogenesis,GO:0048852
292,sox2,SOX2,6657,Biological Process,embryonic organ development,GO:0048568
293,sox2,SOX2,6657,Biological Process,endodermal cell fate specification,GO:0001714
294,sox2,SOX2,6657,Biological Process,epithalamus development,GO:0021538
295,sox2,SOX2,6657,Biological Process,epithelial tube branching involved in lung morphogenesis,GO:0060441
296,sox2,SOX2,6657,Biological Process,eye development,GO:0001654
297,sox2,SOX2,6657,Biological Process,eye morphogenesis,GO:0048592
298,sox2,SOX2,6657,Biological Process,fin regeneration,GO:0031101
299,sox2,SOX2,6657,Biological Process,forebrain development,GO:0030900
300,sox2,SOX2,6657,Biological Process,forebrain neuron differentiation,GO:0021879
301,sox2,SOX2,6657,Biological Process,gene expression,GO:0010467
302,sox2,SOX2,6657,Biological Process,glial cell fate commitment,GO:0021781
303,sox2,SOX2,6657,Biological Process,inner ear development,GO:0048839
304,sox2,SOX2,6657,Biological Process,inner ear morphogenesis,GO:0042472
305,sox2,SOX2,6657,Biological Process,inner ear receptor cell development,GO:0060119
306,sox2,SOX2,6657,Biological Process,lens induction in camera-type eye,GO:0060235
307,sox2,SOX2,6657,Biological Process,lung alveolus development,GO:0048286
308,sox2,SOX2,6657,Biological Process,male genitalia development,GO:0030539
309,sox2,SOX2,6657,Biological Process,multicellular organism development,GO:0007275
310,sox2,SOX2,6657,Biological Process,negative regulation of canonical Wnt signaling pathway,GO:0090090
311,sox2,SOX2,6657,Biological Process,negative regulation of cell cycle G1/S phase transition,GO:1902807
312,sox2,SOX2,6657,Biological Process,negative regulation of cell differentiation,GO:0045596
313,sox2,SOX2,6657,Biological Process,negative regulation of epithelial cell proliferation,GO:0050680
314,sox2,SOX2,6657,Biological Process,negative regulation of neuron differentiation,GO:0045665
315,sox2,SOX2,6657,Biological Process,negative regulation of osteoblast differentiation,GO:0045668
316,sox2,SOX2,6657,Biological Process,negative regulation of transcription by RNA polymerase II,GO:0000122
317,sox2,SOX2,6657,Biological Process,negative regulation of Wnt signaling pathway,GO:0030178
318,sox2,SOX2,6657,Biological Process,neuroblast proliferation,GO:0007405
319,sox2,SOX2,6657,Biological Process,neuronal stem cell population maintenance,GO:0097150
320,sox2,SOX2,6657,Biological Process,neuron differentiation,GO:0030182
321,sox2,SOX2,6657,Biological Process,neuron fate commitment,GO:0048663
322,sox2,SOX2,6657,Biological Process,Notch signaling pathway,GO:0007219
323,sox2,SOX2,6657,Biological Process,olfactory placode formation,GO:0030910
324,sox2,SOX2,6657,Biological Process,osteoblast differentiation,GO:0001649
325,sox2,SOX2,6657,Biological Process,otic placode development,GO:1905040
326,sox2,SOX2,6657,Biological Process,otic vesicle development,GO:0071599
327,sox2,SOX2,6657,Biological Process,pigment biosynthetic process,GO:0046148
328,sox2,SOX2,6657,Biological Process,pineal gland development,GO:0021982
329,sox2,SOX2,6657,Biological Process,pituitary gland development,GO:0021983
330,sox2,SOX2,6657,Biological Process,positive regulation of cell-cell adhesion,GO:0022409
331,sox2,SOX2,6657,Biological Process,positive regulation of cell differentiation,GO:0045597
332,sox2,SOX2,6657,Biological Process,positive regulation of DNA-binding transcription factor activity,GO:0051091
333,sox2,SOX2,6657,Biological Process,positive regulation of DNA-templated transcription,GO:0045893
334,sox2,SOX2,6657,Biological Process,positive regulation of epithelial cell differentiation,GO:0030858
335,sox2,SOX2,6657,Biological Process,positive regulation of MAPK cascade,GO:0043410
336,sox2,SOX2,6657,Biological Process,positive regulation of neuroblast proliferation,GO:0002052
337,sox2,SOX2,6657,Biological Process,positive regulation of neuron differentiation,GO:0045666
338,sox2,SOX2,6657,Biological Process,positive regulation of Notch signaling pathway,GO:0045747
339,sox2,SOX2,6657,Biological Process,positive regulation of transcription by RNA polymerase II,GO:0045944
340,sox2,SOX2,6657,Biological Process,regeneration,GO:0031099
341,sox2,SOX2,6657,Biological Process,regulation of cysteine-type endopeptidase activity involved in apoptotic process,GO:0043281
342,sox2,SOX2,6657,Biological Process,regulation of DNA-templated transcription,GO:0006355
343,sox2,SOX2,6657,Biological Process,regulation of gene expression,GO:0010468
344,sox2,SOX2,6657,Biological Process,regulation of neurogenesis,GO:0050767
345,sox2,SOX2,6657,Biological Process,regulation of transcription by RNA polymerase II,GO:0006357
346,sox2,SOX2,6657,Biological Process,response to growth factor,GO:0070848
347,sox2,SOX2,6657,Biological Process,response to organic substance,GO:0010033
348,sox2,SOX2,6657,Biological Process,response to retinoic acid,GO:0032526
349,sox2,SOX2,6657,Biological Process,response to wounding,GO:0009611
350,sox2,SOX2,6657,Biological Process,retina morphogenesis in camera-type eye,GO:0060042
351,sox2,SOX2,6657,Biological Process,sensory organ precursor cell fate determination,GO:0016360
352,sox2,SOX2,6657,Biological Process,sensory perception of sound,GO:0007605
353,sox2,SOX2,6657,Biological Process,somatic stem cell population maintenance,GO:0035019
354,sox2,SOX2,6657,Biological Process,stem cell differentiation,GO:0048863
355,sox2,SOX2,6657,Biological Process,stem cell population maintenance,GO:0019827
